index:ID,laiyuan,:LABEL
200000,来源本品为胡蜂科昆虫果马蜂Polistes olivaceous （DeGeer）、日本长脚胡蜂Polistes japonicus Saussure 或异腹胡蜂Parapolybia varia Fabricius的巢。秋、冬二季采收，晒干，或略蒸，除去死蜂死蛹，晒干。,laiyuan
200001,来源为天南星科植物细叶藤桔的茎叶。全年可采。,laiyuan
200002,来源药材基源：为金缕梅科植物枫香树Liquidambar formosana Hance的根。,laiyuan
200003,来源药材基源：为双子叶植物药旋花科植物番薯的块根,laiyuan
200004,来源药材基源：为报春花科植物鄂报春的根。,laiyuan
200005,来源药材基源：为百合科植物长叶竹根七的根茎。,laiyuan
200006,来源为马鞭草科植物黄毛紫珠的根或茎、叶。,laiyuan
200007,来源为荨麻科植物赤车的全草或根。春、秋采收，鲜用或晒干。,laiyuan
200008,来源为荨麻科植物赤车使者的全草。春、夏采取，洗净，晒干或鲜用。,laiyuan
200009,来源药材基源：为豆科植物蚕豆Vicia faba L.的茎。,laiyuan
200010,来源为列当科植物草苁蓉的全草。,laiyuan
200011,来源药材基源：为光柄菇科真菌草菇的子实体。,laiyuan
200012,来源药材基源：为马鞭草科植物臭黄荆的种子。,laiyuan
200013,来源药材基源：为菱蟹科动物粗糙菱蟹的肉、壳。,laiyuan
200014,来源药材基源：为芸香科植物香橙Citrus junos Tanaka的种子。,laiyuan
200015,来源药材基源：为芸香科植物甜橙Citrus sinensis （L.）Osbeck的果皮。,laiyuan
200016,来源药材基源：为银耳科真菌橙耳的子实体。,laiyuan
200017,来源药材基源：为兰科植物橙黄玉凤花的块茎。,laiyuan
200018,来源为五加科植物常春藤的茎、叶。秋季采收。,laiyuan
200019,来源药材基源：为龙胆科植物匙叶龙胆的带根全草。,laiyuan
200020,来源药材基源：为芸香科植物香橙Citurs junos Tanaka的果皮。,laiyuan
200021,来源萝藦科匙羹藤属植物匙羹藤Gymnema sylvestre （Retz.）Schult.[G. alterniflorum （Lour.）Merr.]，以根及全株入药。全年可采，晒干或鲜用。,laiyuan
200022,来源蓼科叉分蓼Polygonum divaricatum L.，以根（黑色老根为佳）入药。,laiyuan
200023,来源药材基源：为蓼科植物丛枝蓼的全草。,laiyuan
200024,来源桑科丛毛榕Ficus comata Hand.-Mazz.，以根入药。,laiyuan
200025,来源菊科叉枝鸦葱Scorzonera divaricata Turcz.，以鲜植物汁液入药。,laiyuan
200026,来源药材基源：为五加科植物刺楸的树皮。,laiyuan
200027,来源药材基源：为桑科植物小果榕根。,laiyuan
200028,来源药材基源：为千屈菜科植物拘那花的花或根。,laiyuan
200029,来源药材基源：为耳叶苔科植物串珠耳叶苔的植物体。,laiyuan
200030,来源药材基源：为马兜铃科植物短尾细辛的全草。,laiyuan
200031,来源石竹科繁缕属植物石生繁缕Stellaria saxatilis Buch.-Ham.[S. vestita Kurz]，以全草入药。夏秋采，洗净晒干或鲜用。,laiyuan
200032,"来源为姜科植物姜黄或郁金的根茎。秋，冬采挖，洗净，煮熟至透心为度，晒干，撞去外皮，再晒干。浙江地区将郁金根茎在鲜时切片晒干，名""片姜黄""。",laiyuan
200033,来源药材基源：为薯蓣科植物黄山药的根茎。,laiyuan
200034,来源药材基源：为姬蕨科植物姬蕨的全草。,laiyuan
200035,来源药材基源：为帽贝科动物嫁（虫戚）的壳。,laiyuan
200036,来源药材基源：为豆科植物红毛羊蹄甲的根。,laiyuan
200037,来源药材基源：为豆科植物龙须藤的根或茎。,laiyuan
200038,来源药材基源：为豆科植物龙须藤的叶。,laiyuan
200039,来源药材基源：为凤尾蕨科植物亮凤尾蕨的全草,laiyuan
200040,来源药材基源：为淤积在井底的灰黑色泥土。,laiyuan
200041,来源蕨类凤尾蕨科凤尾蕨属植物剑叶凤尾蕨Pteris ensiformis Burm.，以全草入药。全年可采，鲜用或晒干。,laiyuan
200042,来源药材基源：为凤尾蕨科植物粗糙凤尾蕨的根茎或全草。,laiyuan
200043,来源药材基源：为玄参科植物大萼兔耳草、全缘兔草或短筒兔耳草的根及全草。,laiyuan
200044,来源为松节藻科植物海人草的藻体。3～8月采收。,laiyuan
200045,来源药材基源：为唇形科植物活血丹的全草。,laiyuan
200046,来源为毛茛科植物鞘柄乌头的根。夏、秋季采收。,laiyuan
200047,来源药材基源：为海仙人常科动物海仙人掌的全体。,laiyuan
200048,来源药材基源：为豆科植物马棘的根或地上部分。,laiyuan
200049,来源大戟科猩猩草Euphorbia heterophylla L.，以全草入药。,laiyuan
200050,来源为菊种植物一年蓬的全草及根。,laiyuan
200051,来源为菊科植物一扫光的全草。7～9月采收。,laiyuan
200052,来源药材基源：为真藓科植物暖地大叶藓的植物体。,laiyuan
200053,来源为葡萄科植物一把篾的根或藤。全年可采。切片晒干。,laiyuan
200054,来源药材基源：为五加科植物三七的花。,laiyuan
200055,来源为菊科植物三七草的叶或全草。7～8月间生长茂盛时采，或随用随采。,laiyuan
200056,来源药材基源：为蔷薇科植物白萼委陵菜的地上部分。,laiyuan
200057,来源为茄科植物三分三的根、叶或种子。秋季或冬季采挖，洗净，切片，晒干。,laiyuan
200058,来源为五加科人参属植物三七Panax pseudoginseng Wall. var. notoginseng （Burk.） Hoo et Tseng [P. sanchi Hoo]的块根，其花亦入药。,laiyuan
200059,来源药材基源：为五加科植物白簕的根或根皮。,laiyuan
200060,来源为豆科植物绒毛杭子梢的根。夏、秋采收，切片晒干。,laiyuan
