index:ID,xingwei,:LABEL
300000,甘，平。,xingwei
300001,"《贵州民间药物》：""辛，温。""",xingwei
300002,辛；苦；平,xingwei
300003,甘；平,xingwei
300004,苦；性凉,xingwei
300005,味甘；微辛；性平,xingwei
300006,"《福建民间草药》：""苦辛，温，有小毒。""",xingwei
300007,辛苦，温。,xingwei
300008,"《贵州民间药物》：""性平，味微苦，无毒。""",xingwei
300009,味苦；性温,xingwei
300010,味甘；咸；性温,xingwei
300011,甘；性寒,xingwei
300012,味辛；微苦；性凉,xingwei
300013,味咸；性寒,xingwei
300014,苦；微温,xingwei
300015,辛；苦；温,xingwei
300016,甘；淡；平,xingwei
300017,甘；平,xingwei
300018,苦，凉。,xingwei
300019,微苦；性寒,xingwei
300020,苦；辛；温,xingwei
300021,苦，平。,xingwei
300022,酸、甘，温。,xingwei
300023,辛；性平,xingwei
300024,甘、微辛，温。,xingwei
300025,苦，寒。,xingwei
300026,味辛；苦；性凉,xingwei
300027,甘；微辛；性温,xingwei
300028,味淡；微苦；性寒,xingwei
300029,淡；微苦；凉,xingwei
300030,辛；苦；温,xingwei
300031,辛，凉。有小毒。,xingwei
300032,辛苦，温。,xingwei
300033,微辛；微辛；平,xingwei
300034,苦；辛；凉,xingwei
300035,味碱；性微寒,xingwei
300036,甘苦；温；无毒,xingwei
300037,苦苦；平；无毒,xingwei
300038,甘；苦；平,xingwei
300039,甘；淡；凉,xingwei
300040,淡；甘；寒,xingwei
300041,甘、苦、微辛，凉。,xingwei
300042,辛；微苦；凉,xingwei
300043,味苦；甘；性寒,xingwei
300044,凉；咸；平,xingwei
300045,味苦；辛；性凉,xingwei
300046,"《贵州民间药物》：""性温，味辛，有小毒。""",xingwei
300047,味甘；咸；性平,xingwei
300048,味苦；涩；性平,xingwei
300049,苦、涩，寒。有毒。,xingwei
300050,"《浙江民间常用草药》：""性平，味淡。""",xingwei
300051,苦，寒。,xingwei
300052,辛；苦；平,xingwei
300053,酸麻，寒。,xingwei
300054,味甘；性凉,xingwei
300055,甘，平。,xingwei
300056,味苦；辛；性微温,xingwei
300057,"《云南中草药》：""苦涩麻，温，剧毒。""",xingwei
300058,块根：甘、味苦，温。,xingwei
300059,味苦；辛；性凉,xingwei
300060,苦涩，平。,xingwei
300061,辛；微温,xingwei
300062,微苦；涩；凉,xingwei
300063,辛；温；有小毒,xingwei
300064,甘、苦、平,xingwei
300065,苦，寒。,xingwei
300066,苦辛；凉；有毒,xingwei
300067,"①《贵州草药》：""性凉，味涩微苦。""",xingwei
300068,苦；寒,xingwei
300069,苦，微寒。,xingwei
