index:ID,yaocai,:LABEL
100000,蜂房Fēnɡ Fánɡ露蜂房、马蜂窝、蜂巢、野蜂窝、黄蜂窝、百穿之巢,yaocai
100001,飞天蜈蚣Fēi Tiān Wú Gōnɡ蜈蚣草、神仙对坐草、石上蜈蚣、落地蜈蚣、百足草（《陆川本草》），铁斑鸠、巴岩姜（《贵州民间药物》）。,yaocai
100002,枫香树根Fēnɡ Xiānɡ Shù Gēn枫果根、杜东根。,yaocai
100003,番薯Fān Shǔ朱薯、山芋、甘薯、红山药、红薯、金薯、番茹、土瓜、地瓜、玉枕薯、红苕、白薯、甜薯,yaocai
100004,鄂报春è Bào Chūn岩丸子[湖北、利川]、四季报春,yaocai
100005,长叶竹根七Chánɡ Yè Zhú Gēn Qī黄精、三子果,yaocai
100006,长叶紫珠Chánɡ Yè Zǐ Zhū山枇杷（《福建民间草药》），牛舌癀（《闽南民间草药》），野枇杷（《中国药植图鉴》）。,yaocai
100007,赤车Chì Chē岩下青、冷坑青、阴蒙藤、拔血红、小铁木、吊血丹、风阳草、坑兰。,yaocai
100008,赤车使者Chì Chē Shí Zhě小锦枝（《雷公炮炙论》），半边山、半边伞、到老嫩（《贵州民间药物》），细水麻叶、石边采、小白沙（《湖南药物志》）。,yaocai
100009,蚕豆茎Cán Dòu Jīnɡ蚕豆梗。,yaocai
100010,草苁蓉Cǎo Cōnɡ Rónɡ金笋、地精、肉松蓉、苁蓉、不老草,yaocai
100011,草菇Cǎo Gū稻草菇、兰花菇、秆菇、麻菇、家生菇、南华菇、草菌、美味苞、脚菇,yaocai
100012,臭黄荆Chòu Huánɡ Jīnɡ斑鹊子,yaocai
100013,糙壳菱蟹Cāo Ké Línɡ Xiè石蟹,yaocai
100014,橙子核Chénɡ Zi Hé香橙仁。,yaocai
100015,橙皮Chénɡ Pí理皮、黄果皮、理陈皮、广柑皮。,yaocai
100016,橙耳Chénɡ ěr黄木耳,yaocai
100017,橙黄玉凤花Chénɡ Huánɡ Yù Fènɡ Huā飞花羊、鸡母虫药,yaocai
100018,常春藤Chánɡ Chūn Ténɡ土鼓藤（《本草拾遗》），龙鳞薛荔（《日华子本草》），尖叶薜荔（《普济方》），三角风；三角尖（《纲目》），上树蜈蚣（《分类草药性》），爬墙虎、械枫、尖角枫、山葡萄、狗姆蛇（《中国树木分类学》），钻天风（《四川中药志》），百脚蜈蚣（《中国药植图鉴》），钻矢风、枫荷梨藤（江西《草药手册》），风藤草（《西藏常用中草药》），犁头南枫藤、三角箭、土枫藤、散骨风、三叶木莲（《浙江民间常用草药》）。,yaocai
100019,匙叶龙胆Chí Yè Lónɡ Dǎn奥拉毛,yaocai
100020,橙子皮Chénɡ Zi Pí橙皮。,yaocai
