:START_ID,:END_ID,relation,:TYPE
200000,100000,belong,belong
200001,100001,belong,belong
200002,100002,belong,belong
200003,100003,belong,belong
200004,100004,belong,belong
200005,100005,belong,belong
200006,100006,belong,belong
200007,100007,belong,belong
200008,100008,belong,belong
200009,100009,belong,belong
200010,100010,belong,belong
200011,100011,belong,belong
200012,100012,belong,belong
200013,100013,belong,belong
200014,100014,belong,belong
200015,100015,belong,belong
200016,100016,belong,belong
200017,100017,belong,belong
200018,100018,belong,belong
200019,100019,belong,belong
200020,100020,belong,belong
200021,100021,belong,belong
200022,100022,belong,belong
200023,100023,belong,belong
200024,100024,belong,belong
200025,100025,belong,belong
200026,100026,belong,belong
200027,100027,belong,belong
200028,100028,belong,belong
200029,100029,belong,belong
200030,100030,belong,belong
200031,100031,belong,belong
200032,100032,belong,belong
200033,100033,belong,belong
200034,100034,belong,belong
200035,100035,belong,belong
200036,100036,belong,belong
200037,100037,belong,belong
200038,100038,belong,belong
200039,100039,belong,belong
200040,100040,belong,belong
200041,100041,belong,belong
200042,100042,belong,belong
200043,100043,belong,belong
200044,100044,belong,belong
200045,100045,belong,belong
200046,100046,belong,belong
200047,100047,belong,belong
200048,100048,belong,belong
200049,100049,belong,belong
200050,100050,belong,belong
200051,100051,belong,belong
200052,100052,belong,belong
200053,100053,belong,belong
200054,100054,belong,belong
200055,100055,belong,belong
200056,100056,belong,belong
200057,100057,belong,belong
200058,100058,belong,belong
200059,100059,belong,belong
200060,100060,belong,belong
200061,100061,belong,belong
200062,100062,belong,belong
200063,100063,belong,belong
200064,100064,belong,belong
200065,100065,belong,belong
200066,100066,belong,belong
200067,100067,belong,belong
200068,100068,belong,belong
200069,100069,belong,belong
200070,100070,belong,belong
200071,100071,belong,belong
200072,100072,belong,belong
200073,100073,belong,belong
200074,100074,belong,belong
200075,100075,belong,belong
200076,100076,belong,belong
200077,100077,belong,belong
200078,100078,belong,belong
200079,100079,belong,belong
200080,100080,belong,belong
200081,100081,belong,belong
200082,100082,belong,belong
200083,100083,belong,belong
200084,100084,belong,belong
200085,100085,belong,belong
200086,100086,belong,belong
200087,100087,belong,belong
200088,100088,belong,belong
200089,100089,belong,belong
200090,100090,belong,belong
200091,100091,belong,belong
200092,100092,belong,belong
200093,100093,belong,belong
200094,100094,belong,belong
200095,100095,belong,belong
200096,100096,belong,belong
200097,100097,belong,belong
200098,100098,belong,belong
200099,100099,belong,belong
200100,100100,belong,belong
200101,100101,belong,belong
200102,100102,belong,belong
200103,100103,belong,belong
200104,100104,belong,belong
200105,100105,belong,belong
200106,100106,belong,belong
200107,100107,belong,belong
200108,100108,belong,belong
200109,100109,belong,belong
200110,100110,belong,belong
200111,100111,belong,belong
200112,100112,belong,belong
200113,100113,belong,belong
200114,100114,belong,belong
200115,100115,belong,belong
200116,100116,belong,belong
200117,100117,belong,belong
200118,100118,belong,belong
200119,100119,belong,belong
200120,100120,belong,belong
200121,100121,belong,belong
200122,100122,belong,belong
200123,100123,belong,belong
200124,100124,belong,belong
200125,100125,belong,belong
200126,100126,belong,belong
200127,100127,belong,belong
200128,100128,belong,belong
200129,100129,belong,belong
200130,100130,belong,belong
200131,100131,belong,belong
200132,100132,belong,belong
200133,100133,belong,belong
200134,100134,belong,belong
200135,100135,belong,belong
200136,100136,belong,belong
200137,100137,belong,belong
200138,100138,belong,belong
200139,100139,belong,belong
200140,100140,belong,belong
200141,100141,belong,belong
200142,100142,belong,belong
200143,100143,belong,belong
200144,100144,belong,belong
200145,100145,belong,belong
200146,100146,belong,belong
200147,100147,belong,belong
200148,100148,belong,belong
200149,100149,belong,belong
200150,100150,belong,belong
200151,100151,belong,belong
200152,100152,belong,belong
200153,100153,belong,belong
200154,100154,belong,belong
200155,100155,belong,belong
200156,100156,belong,belong
200157,100157,belong,belong
200158,100158,belong,belong
200159,100159,belong,belong
200160,100160,belong,belong
200161,100161,belong,belong
200162,100162,belong,belong
200163,100163,belong,belong
200164,100164,belong,belong
200165,100165,belong,belong
200166,100166,belong,belong
200167,100167,belong,belong
200168,100168,belong,belong
200169,100169,belong,belong
200170,100170,belong,belong
200171,100171,belong,belong
200172,100172,belong,belong
200173,100173,belong,belong
200174,100174,belong,belong
200175,100175,belong,belong
200176,100176,belong,belong
200177,100177,belong,belong
200178,100178,belong,belong
200179,100179,belong,belong
200180,100180,belong,belong
200181,100181,belong,belong
200182,100182,belong,belong
200183,100183,belong,belong
200184,100184,belong,belong
200185,100185,belong,belong
200186,100186,belong,belong
200187,100187,belong,belong
200188,100188,belong,belong
200189,100189,belong,belong
200190,100190,belong,belong
200191,100191,belong,belong
200192,100192,belong,belong
200193,100193,belong,belong
200194,100194,belong,belong
200195,100195,belong,belong
200196,100196,belong,belong
200197,100197,belong,belong
200198,100198,belong,belong
200199,100199,belong,belong
200200,100200,belong,belong
200201,100201,belong,belong
200202,100202,belong,belong
200203,100203,belong,belong
200204,100204,belong,belong
200205,100205,belong,belong
200206,100206,belong,belong
200207,100207,belong,belong
200208,100208,belong,belong
200209,100209,belong,belong
200210,100210,belong,belong
200211,100211,belong,belong
200212,100212,belong,belong
200213,100213,belong,belong
200214,100214,belong,belong
200215,100215,belong,belong
200216,100216,belong,belong
200217,100217,belong,belong
200218,100218,belong,belong
200219,100219,belong,belong
