:START_ID,:END_ID,relation,:TYPE
300000,100000,belong,belong
300001,100001,belong,belong
300002,100002,belong,belong
300003,100003,belong,belong
300004,100004,belong,belong
300005,100005,belong,belong
300006,100006,belong,belong
300007,100007,belong,belong
300008,100008,belong,belong
300009,100009,belong,belong
300010,100010,belong,belong
300011,100011,belong,belong
300012,100012,belong,belong
300013,100013,belong,belong
300014,100014,belong,belong
300015,100015,belong,belong
300016,100016,belong,belong
300017,100017,belong,belong
300018,100018,belong,belong
300019,100019,belong,belong
300020,100020,belong,belong
300021,100021,belong,belong
300022,100022,belong,belong
300023,100023,belong,belong
300024,100024,belong,belong
300025,100025,belong,belong
300026,100026,belong,belong
300027,100027,belong,belong
300028,100028,belong,belong
300029,100029,belong,belong
300030,100030,belong,belong
300031,100031,belong,belong
300032,100032,belong,belong
300033,100033,belong,belong
300034,100034,belong,belong
300035,100035,belong,belong
300036,100036,belong,belong
300037,100037,belong,belong
300038,100038,belong,belong
300039,100039,belong,belong
300040,100040,belong,belong
300041,100041,belong,belong
300042,100042,belong,belong
300043,100043,belong,belong
300044,100044,belong,belong
300045,100045,belong,belong
300046,100046,belong,belong
300047,100047,belong,belong
300048,100048,belong,belong
300049,100049,belong,belong
300050,100050,belong,belong
300051,100051,belong,belong
300052,100052,belong,belong
300053,100053,belong,belong
300054,100054,belong,belong
300055,100055,belong,belong
300056,100056,belong,belong
300057,100057,belong,belong
300058,100058,belong,belong
300059,100059,belong,belong
300060,100060,belong,belong
300061,100061,belong,belong
300062,100062,belong,belong
300063,100063,belong,belong
300064,100064,belong,belong
300065,100065,belong,belong
300066,100066,belong,belong
300067,100067,belong,belong
300068,100068,belong,belong
300069,100069,belong,belong
300070,100070,belong,belong
300071,100071,belong,belong
300072,100072,belong,belong
300073,100073,belong,belong
300074,100074,belong,belong
300075,100075,belong,belong
300076,100076,belong,belong
300077,100077,belong,belong
300078,100078,belong,belong
300079,100079,belong,belong
300080,100080,belong,belong
300081,100081,belong,belong
300082,100082,belong,belong
300083,100083,belong,belong
300084,100084,belong,belong
300085,100085,belong,belong
300086,100086,belong,belong
300087,100087,belong,belong
300088,100088,belong,belong
300089,100089,belong,belong
300090,100090,belong,belong
300091,100091,belong,belong
300092,100092,belong,belong
300093,100093,belong,belong
300094,100094,belong,belong
300095,100095,belong,belong
300096,100096,belong,belong
300097,100097,belong,belong
300098,100098,belong,belong
300099,100099,belong,belong
300100,100100,belong,belong
300101,100101,belong,belong
300102,100102,belong,belong
300103,100103,belong,belong
300104,100104,belong,belong
300105,100105,belong,belong
300106,100106,belong,belong
300107,100107,belong,belong
300108,100108,belong,belong
300109,100109,belong,belong
300110,100110,belong,belong
300111,100111,belong,belong
300112,100112,belong,belong
300113,100113,belong,belong
300114,100114,belong,belong
300115,100115,belong,belong
300116,100116,belong,belong
300117,100117,belong,belong
300118,100118,belong,belong
300119,100119,belong,belong
300120,100120,belong,belong
300121,100121,belong,belong
300122,100122,belong,belong
300123,100123,belong,belong
300124,100124,belong,belong
300125,100125,belong,belong
300126,100126,belong,belong
300127,100127,belong,belong
300128,100128,belong,belong
300129,100129,belong,belong
300130,100130,belong,belong
300131,100131,belong,belong
300132,100132,belong,belong
300133,100133,belong,belong
300134,100134,belong,belong
300135,100135,belong,belong
300136,100136,belong,belong
300137,100137,belong,belong
300138,100138,belong,belong
300139,100139,belong,belong
300140,100140,belong,belong
300141,100141,belong,belong
300142,100142,belong,belong
300143,100143,belong,belong
300144,100144,belong,belong
300145,100145,belong,belong
300146,100146,belong,belong
300147,100147,belong,belong
300148,100148,belong,belong
300149,100149,belong,belong
300150,100150,belong,belong
300151,100151,belong,belong
300152,100152,belong,belong
300153,100153,belong,belong
300154,100154,belong,belong
300155,100155,belong,belong
300156,100156,belong,belong
300157,100157,belong,belong
300158,100158,belong,belong
300159,100159,belong,belong
300160,100160,belong,belong
300161,100161,belong,belong
300162,100162,belong,belong
300163,100163,belong,belong
300164,100164,belong,belong
300165,100165,belong,belong
300166,100166,belong,belong
300167,100167,belong,belong
300168,100168,belong,belong
300169,100169,belong,belong
300170,100170,belong,belong
300171,100171,belong,belong
300172,100172,belong,belong
300173,100173,belong,belong
300174,100174,belong,belong
300175,100175,belong,belong
300176,100176,belong,belong
300177,100177,belong,belong
300178,100178,belong,belong
300179,100179,belong,belong
300180,100180,belong,belong
300181,100181,belong,belong
300182,100182,belong,belong
300183,100183,belong,belong
300184,100184,belong,belong
300185,100185,belong,belong
300186,100186,belong,belong
300187,100187,belong,belong
300188,100188,belong,belong
300189,100189,belong,belong
300190,100190,belong,belong
300191,100191,belong,belong
300192,100192,belong,belong
300193,100193,belong,belong
300194,100194,belong,belong
300195,100195,belong,belong
300196,100196,belong,belong
300197,100197,belong,belong
300198,100198,belong,belong
300199,100199,belong,belong
300200,100200,belong,belong
300201,100201,belong,belong
300202,100202,belong,belong
300203,100203,belong,belong
300204,100204,belong,belong
300205,100205,belong,belong
300206,100206,belong,belong
300207,100207,belong,belong
300208,100208,belong,belong
300209,100209,belong,belong
300210,100210,belong,belong
300211,100211,belong,belong
300212,100212,belong,belong
300213,100213,belong,belong
300214,100214,belong,belong
300215,100215,belong,belong
300216,100216,belong,belong
300217,100217,belong,belong
300218,100218,belong,belong
300219,100219,belong,belong
300220,100220,belong,belong
300221,100221,belong,belong
300222,100222,belong,belong
300223,100223,belong,belong
300224,100224,belong,belong
300225,100225,belong,belong
300226,100226,belong,belong
300227,100227,belong,belong
300228,100228,belong,belong
300229,100229,belong,belong
300230,100230,belong,belong
300231,100231,belong,belong
300232,100232,belong,belong
300233,100233,belong,belong
300234,100234,belong,belong
300235,100235,belong,belong
300236,100236,belong,belong
300237,100237,belong,belong
300238,100238,belong,belong
300239,100239,belong,belong
300240,100240,belong,belong
300241,100241,belong,belong
300242,100242,belong,belong
300243,100243,belong,belong
300244,100244,belong,belong
300245,100245,belong,belong
300246,100246,belong,belong
300247,100247,belong,belong
300248,100248,belong,belong
300249,100249,belong,belong
300250,100250,belong,belong
300251,100251,belong,belong
300252,100252,belong,belong
300253,100253,belong,belong
300254,100254,belong,belong
300255,100255,belong,belong
300256,100256,belong,belong
300257,100257,belong,belong
300258,100258,belong,belong
300259,100259,belong,belong
300260,100260,belong,belong
300261,100261,belong,belong
300262,100262,belong,belong
300263,100263,belong,belong
300264,100264,belong,belong
300265,100265,belong,belong
300266,100266,belong,belong
300267,100267,belong,belong
300268,100268,belong,belong
300269,100269,belong,belong
300270,100270,belong,belong
300271,100271,belong,belong
300272,100272,belong,belong
300273,100273,belong,belong
300274,100274,belong,belong
300275,100275,belong,belong
300276,100276,belong,belong
300277,100277,belong,belong
300278,100278,belong,belong
300279,100279,belong,belong
300280,100280,belong,belong
300281,100281,belong,belong
300282,100282,belong,belong
300283,100283,belong,belong
300284,100284,belong,belong
300285,100285,belong,belong
