:START_ID,:END_ID,relation,:TYPE
100000,500000,method,method
100001,500001,method,method
100002,500002,method,method
100003,500003,method,method
100004,500004,method,method
100005,500005,method,method
100006,500006,method,method
100007,500007,method,method
100008,500008,method,method
100009,500009,method,method
100010,500010,method,method
100011,500011,method,method
100012,500012,method,method
100013,500013,method,method
100014,500014,method,method
100015,500015,method,method
100016,500016,method,method
100017,500017,method,method
100018,500018,method,method
100019,500019,method,method
100020,500020,method,method
100021,500021,method,method
100022,500022,method,method
100023,500023,method,method
100024,500024,method,method
100025,500025,method,method
100026,500026,method,method
100027,500027,method,method
100028,500028,method,method
100029,500029,method,method
100030,500030,method,method
100031,500031,method,method
100032,500032,method,method
100033,500033,method,method
100034,500034,method,method
100035,500035,method,method
100036,500036,method,method
100037,500037,method,method
100038,500038,method,method
100039,500039,method,method
100040,500040,method,method
100041,500041,method,method
100042,500042,method,method
100043,500043,method,method
100044,500044,method,method
100045,500045,method,method
100046,500046,method,method
100047,500047,method,method
100048,500048,method,method
100049,500049,method,method
100050,500050,method,method
100051,500051,method,method
100052,500052,method,method
100053,500053,method,method
100054,500054,method,method
100055,500055,method,method
100056,500056,method,method
100057,500057,method,method
100058,500058,method,method
100059,500059,method,method
100060,500060,method,method
100061,500061,method,method
100062,500062,method,method
100063,500063,method,method
100064,500064,method,method
100065,500065,method,method
100066,500066,method,method
100067,500067,method,method
100068,500068,method,method
100069,500069,method,method
100070,500070,method,method
100071,500071,method,method
100072,500072,method,method
100073,500073,method,method
100074,500074,method,method
100075,500075,method,method
100076,500076,method,method
100077,500077,method,method
100078,500078,method,method
100079,500079,method,method
100080,500080,method,method
100081,500081,method,method
100082,500082,method,method
100083,500083,method,method
100084,500084,method,method
100085,500085,method,method
100086,500086,method,method
100087,500087,method,method
100088,500088,method,method
100089,500089,method,method
100090,500090,method,method
100091,500091,method,method
100092,500092,method,method
100093,500093,method,method
100094,500094,method,method
100095,500095,method,method
100096,500096,method,method
100097,500097,method,method
100098,500098,method,method
100099,500099,method,method
100100,500100,method,method
100101,500101,method,method
100102,500102,method,method
100103,500103,method,method
100104,500104,method,method
100105,500105,method,method
100106,500106,method,method
100107,500107,method,method
100108,500108,method,method
100109,500109,method,method
100110,500110,method,method
100111,500111,method,method
100112,500112,method,method
100113,500113,method,method
100114,500114,method,method
100115,500115,method,method
100116,500116,method,method
100117,500117,method,method
100118,500118,method,method
100119,500119,method,method
100120,500120,method,method
100121,500121,method,method
100122,500122,method,method
100123,500123,method,method
100124,500124,method,method
100125,500125,method,method
100126,500126,method,method
100127,500127,method,method
100128,500128,method,method
100129,500129,method,method
100130,500130,method,method
100131,500131,method,method
100132,500132,method,method
100133,500133,method,method
100134,500134,method,method
100135,500135,method,method
100136,500136,method,method
100137,500137,method,method
100138,500138,method,method
100139,500139,method,method
100140,500140,method,method
100141,500141,method,method
100142,500142,method,method
100143,500143,method,method
100144,500144,method,method
100145,500145,method,method
100146,500146,method,method
100147,500147,method,method
100148,500148,method,method
100149,500149,method,method
100150,500150,method,method
