:START_ID,:END_ID,relation,:TYPE
100000,600000,from,from
100001,600001,from,from
100002,600002,from,from
100003,600003,from,from
100004,600004,from,from
100005,600005,from,from
100006,600006,from,from
100007,600007,from,from
100008,600008,from,from
100009,600009,from,from
100010,600010,from,from
100011,600011,from,from
100012,600012,from,from
100013,600013,from,from
100014,600014,from,from
100015,600015,from,from
100016,600016,from,from
100017,600017,from,from
100018,600018,from,from
100019,600019,from,from
100020,600020,from,from
100021,600021,from,from
100022,600022,from,from
100023,600023,from,from
100024,600024,from,from
100025,600025,from,from
100026,600026,from,from
100027,600027,from,from
100028,600028,from,from
100029,600029,from,from
100030,600030,from,from
100031,600031,from,from
100032,600032,from,from
100033,600033,from,from
100034,600034,from,from
100035,600035,from,from
100036,600036,from,from
100037,600037,from,from
100038,600038,from,from
100039,600039,from,from
100040,600040,from,from
100041,600041,from,from
100042,600042,from,from
100043,600043,from,from
100044,600044,from,from
100045,600045,from,from
100046,600046,from,from
100047,600047,from,from
100048,600048,from,from
100049,600049,from,from
100050,600050,from,from
100051,600051,from,from
100052,600052,from,from
100053,600053,from,from
100054,600054,from,from
100055,600055,from,from
100056,600056,from,from
100057,600057,from,from
100058,600058,from,from
100059,600059,from,from
100060,600060,from,from
100061,600061,from,from
100062,600062,from,from
100063,600063,from,from
100064,600064,from,from
100065,600065,from,from
100066,600066,from,from
100067,600067,from,from
100068,600068,from,from
100069,600069,from,from
100070,600070,from,from
100071,600071,from,from
100072,600072,from,from
100073,600073,from,from
100074,600074,from,from
100075,600075,from,from
100076,600076,from,from
100077,600077,from,from
100078,600078,from,from
100079,600079,from,from
100080,600080,from,from
100081,600081,from,from
100082,600082,from,from
100083,600083,from,from
100084,600084,from,from
100085,600085,from,from
100086,600086,from,from
100087,600087,from,from
100088,600088,from,from
100089,600089,from,from
100090,600090,from,from
100091,600091,from,from
100092,600092,from,from
100093,600093,from,from
100094,600094,from,from
100095,600095,from,from
100096,600096,from,from
100097,600097,from,from
100098,600098,from,from
100099,600099,from,from
100100,600100,from,from
