:START_ID,:END_ID,relation,:TYPE
100000,400000,effect,effect
100001,400001,effect,effect
100002,400002,effect,effect
100003,400003,effect,effect
100004,400004,effect,effect
100005,400005,effect,effect
100006,400006,effect,effect
100007,400007,effect,effect
100008,400008,effect,effect
100009,400009,effect,effect
100010,400010,effect,effect
100011,400011,effect,effect
100012,400012,effect,effect
100013,400013,effect,effect
100014,400014,effect,effect
100015,400015,effect,effect
100016,400016,effect,effect
100017,400017,effect,effect
100018,400018,effect,effect
100019,400019,effect,effect
100020,400020,effect,effect
100021,400021,effect,effect
100022,400022,effect,effect
100023,400023,effect,effect
100024,400024,effect,effect
100025,400025,effect,effect
100026,400026,effect,effect
100027,400027,effect,effect
100028,400028,effect,effect
100029,400029,effect,effect
100030,400030,effect,effect
100031,400031,effect,effect
100032,400032,effect,effect
100033,400033,effect,effect
100034,400034,effect,effect
100035,400035,effect,effect
100036,400036,effect,effect
100037,400037,effect,effect
100038,400038,effect,effect
100039,400039,effect,effect
100040,400040,effect,effect
100041,400041,effect,effect
100042,400042,effect,effect
100043,400043,effect,effect
100044,400044,effect,effect
100045,400045,effect,effect
100046,400046,effect,effect
100047,400047,effect,effect
100048,400048,effect,effect
100049,400049,effect,effect
100050,400050,effect,effect
100051,400051,effect,effect
100052,400052,effect,effect
100053,400053,effect,effect
100054,400054,effect,effect
100055,400055,effect,effect
100056,400056,effect,effect
100057,400057,effect,effect
100058,400058,effect,effect
100059,400059,effect,effect
100060,400060,effect,effect
100061,400061,effect,effect
100062,400062,effect,effect
100063,400063,effect,effect
100064,400064,effect,effect
100065,400065,effect,effect
100066,400066,effect,effect
100067,400067,effect,effect
100068,400068,effect,effect
100069,400069,effect,effect
100070,400070,effect,effect
100071,400071,effect,effect
100072,400072,effect,effect
100073,400073,effect,effect
100074,400074,effect,effect
100075,400075,effect,effect
100076,400076,effect,effect
100077,400077,effect,effect
100078,400078,effect,effect
100079,400079,effect,effect
100080,400080,effect,effect
100081,400081,effect,effect
100082,400082,effect,effect
100083,400083,effect,effect
100084,400084,effect,effect
100085,400085,effect,effect
100086,400086,effect,effect
100087,400087,effect,effect
100088,400088,effect,effect
100089,400089,effect,effect
100090,400090,effect,effect
100091,400091,effect,effect
100092,400092,effect,effect
100093,400093,effect,effect
100094,400094,effect,effect
100095,400095,effect,effect
100096,400096,effect,effect
100097,400097,effect,effect
100098,400098,effect,effect
100099,400099,effect,effect
100100,400100,effect,effect
100101,400101,effect,effect
100102,400102,effect,effect
100103,400103,effect,effect
100104,400104,effect,effect
100105,400105,effect,effect
100106,400106,effect,effect
100107,400107,effect,effect
100108,400108,effect,effect
100109,400109,effect,effect
100110,400110,effect,effect
100111,400111,effect,effect
100112,400112,effect,effect
100113,400113,effect,effect
100114,400114,effect,effect
100115,400115,effect,effect
100116,400116,effect,effect
100117,400117,effect,effect
100118,400118,effect,effect
100119,400119,effect,effect
100120,400120,effect,effect
100121,400121,effect,effect
100122,400122,effect,effect
100123,400123,effect,effect
100124,400124,effect,effect
100125,400125,effect,effect
100126,400126,effect,effect
100127,400127,effect,effect
100128,400128,effect,effect
100129,400129,effect,effect
100130,400130,effect,effect
100131,400131,effect,effect
100132,400132,effect,effect
100133,400133,effect,effect
100134,400134,effect,effect
100135,400135,effect,effect
100136,400136,effect,effect
100137,400137,effect,effect
100138,400138,effect,effect
100139,400139,effect,effect
100140,400140,effect,effect
100141,400141,effect,effect
100142,400142,effect,effect
100143,400143,effect,effect
100144,400144,effect,effect
100145,400145,effect,effect
100146,400146,effect,effect
100147,400147,effect,effect
100148,400148,effect,effect
100149,400149,effect,effect
100150,400150,effect,effect
100151,400151,effect,effect
100152,400152,effect,effect
100153,400153,effect,effect
100154,400154,effect,effect
100155,400155,effect,effect
100156,400156,effect,effect
100157,400157,effect,effect
100158,400158,effect,effect
100159,400159,effect,effect
100160,400160,effect,effect
100161,400161,effect,effect
100162,400162,effect,effect
100163,400163,effect,effect
100164,400164,effect,effect
100165,400165,effect,effect
100166,400166,effect,effect
100167,400167,effect,effect
100168,400168,effect,effect
100169,400169,effect,effect
100170,400170,effect,effect
100171,400171,effect,effect
100172,400172,effect,effect
100173,400173,effect,effect
100174,400174,effect,effect
100175,400175,effect,effect
100176,400176,effect,effect
100177,400177,effect,effect
100178,400178,effect,effect
100179,400179,effect,effect
100180,400180,effect,effect
100181,400181,effect,effect
100182,400182,effect,effect
100183,400183,effect,effect
100184,400184,effect,effect
