index:ID,yongfa,:LABEL
500000,3～5g。外用适量，研末油调敷患处，或煎水漱或洗患处。,yongfa
500001,内服：煎汤，0.5～1两；或泡酒。外用：捣敷。,yongfa
500002,内服：煎汤，15-30g；或捣汁。外用：适量，捣敷。,yongfa
500003,内服：适量，生食或煮食。外用：适量，捣敷。,yongfa
500004,内服：煎汤，9～15g。,yongfa
500005,内服：煎汤，9-15g。外用：适量，捣敷。,yongfa
500006,内服：煎汤，鲜者1～2两；或捣汁。,yongfa
500007,5钱。外用适量，捣烂外敷。,yongfa
500008,内服：煎汤，2～3钱。外用：捣烂和酒揉擦。,yongfa
500009,内服：煎汤，15-30g；或焙干研末，9g。外用：适量，烧灰调敷。,yongfa
500010,内服:煎汤，0.5～1两；或浸酒。,yongfa
500011,内服：煎汤，9-15g，鲜品30-90g；或作食品常服。,yongfa
500012,内服：煎汤，10-15g。外用：适量，水煎洗。,yongfa
500013,内服：适量，煎汤。外用：适量，研末调敷。,yongfa
500014,内服：煎汤，3-9g，或研末。,yongfa
500015,内服：煎汤，3-10g；或研末。外用：适量，煎水熏洗。,yongfa
500016,内服：煎汤，3-10g。,yongfa
500017,内服：煎汤，3-9g。外用：适量，鲜品捣敷。,yongfa
500018,内服：煎汤，1～3钱；浸酒或捣汁。外用：煎水洗或捣敷。,yongfa
500019,内服：煎汤，6-15g。外用：适量，煎水漱口。,yongfa
500020,内服：煎汤，3-9g；或盐腌、糖渍；或作饼研末。,yongfa
500021,0.3～1两。,yongfa
500022,鲜根5两～1斤，水2斤，熬成1斤，趁热装入罐中，用热气熏患部，熏时用被围上，熏1～2小时（全身出汗为好），一般2～3次可愈。,yongfa
500023,内服：煎汤，15～309。外用：适量，捣敷或煎水洗。,yongfa
500024,干根1～2两，水煎服，或炖肉服。,yongfa
500025,鲜汁液外涂。,yongfa
500026,内服：煎汤，9-15g；或泡酒。外用：适量，煎水洗；或捣敷；或研末调敷。,yongfa
500027,内服：煎汤，30-120g。外用：适量，煎水洗。,yongfa
500028,内服：煎汤，9-15g。外用：适量，鲜品捣敷。,yongfa
500029,内服：煎汤，6-9g。,yongfa
500030,内服：煎汤，1-3g。,yongfa
500031,1～3钱。外用适量，捣烂酒调敷患处。,yongfa
500032,内服：煎汤，1～3钱；或入丸，散。外用：研末调敷。,yongfa
500033,内服：煎汤，15-30g。外用：适量，鲜品绞汁余；或捣烂敷。,yongfa
500034,外用：适量，鲜草捣敷；或干品研末敷。,yongfa
500035,内服：煎汤，10-15g。,yongfa
500036,内服：煎汤，9-15g；或泡酒。,yongfa
500037,内服：煎汤，9-15g，鲜品用量加倍；或浸酒。,yongfa
500038,内服：煎汤，10-30g。外用：适量，捣敷。,yongfa
500039,内服：煎汤，10-30g。外用：适量，研末撒；煎水洗；或鲜品捣敷。,yongfa
500040,外用：涂敷。,yongfa
500041,0.5～1两。,yongfa
500042,内服：煎汤，6-15g。外用：适量，捣敷。,yongfa
500043,内服：煎汤，5-10g；或研末；或浸酒。,yongfa
500044,内服：煎汤，2～3钱；或研末。,yongfa
500045,内服：煎汤，15-30g；或浸酒，或捣汁。外用：适量，捣敷或绞汁涂敷。,yongfa
500046,内服：煎汤，3～5钱；或浸酒。外用：磨涂。,yongfa
500047,内服：煎汤，10-15g。外用：适量，捣敷。,yongfa
500048,内服：煎汤，20-30g。外用：适量，鲜品捣敷；干品或炒炭存性研末，调敷。,yongfa
500049,干品1～3钱；外用鲜品适量捣烂敷患处，2～3天换药一次。,yongfa
500050,内服：煎汤，1～2两。,yongfa
500051,内服：煎汤，1～3钱。,yongfa
500052,内服：煎汤，3-9g。外用：适量，捣敷；或煎汤熏洗。,yongfa
500053,内服：煎汤，0.5～1两。外用：捣敷。,yongfa
500054,内服：适量，开水泡服。,yongfa
500055,内服：煎汤，0.5～1两；或捣汁。外用：捣敷。,yongfa
500056,内服：煎汤，10-15g；或入丸、散。,yongfa
500057,内服：煎汤，1～3分；或研末服。外用：研末酒调敷。,yongfa
500058,块根：1～3钱，研末用白开水送服。不宜入煎剂。,yongfa
500059,内服：煎汤，15-30g，大剂量可用至60g；或浸酒。外用：适量，研末调敷，捣敷或煎水洗。,yongfa
500060,内服：煎汤，1～2两。,yongfa
500061,内服：煎汤，3-6g。,yongfa
500062,内服：煎汤，6-15g；外用，适量，捣敷；或研末撒。,yongfa
500063,内服：煎汤3-9g；或研末。外用：鲜品适量，捣敷。,yongfa
500064,内服：煎汤；15-30g。,yongfa
500065,根0.3～1两，叶3～5钱。外用适量，鲜叶捣烂或煎汤洗患处，也可阴干研粉调制软膏搽患处。,yongfa
500066,内服：煎汤，6-12g，鲜品加倍；或研末；或浸酒。外用：适量，煎水洗；或捣敷。,yongfa
500067,内服：煎汤，0.5～1两。外用：捣敷或研末撒。,yongfa
500068,内服：煎汤，9-15g。外用：适量，煎水洗。,yongfa
500069,内服：煎汤，3～6钱；或浸酒。外用：捣敷、煎水洗或研末撒。,yongfa
500070,5～8钱。,yongfa
500071,内服：煎汤，10-30g。,yongfa
500072,内服：煎汤，6-12g。,yongfa
500073,内服：煎汤，15-90g;或泡酒。,yongfa
500074,内服：煎汤，3-10g，大剂量可用至90g。外用：适量，煎汤洗、捣烂敷；或研末菜油调搽。,yongfa
500075,3～5钱；外用适量，以酒或水磨搽患处。,yongfa
500076,内服：煎荡，1～3钱。外用：蘸酒擦。,yongfa
500077,2钱，蒸猪瘦肉或鸡蛋吃。,yongfa
500078,一般提取其中生物碱，制成注射剂使用，具体参见“制剂”与现代临订研究“项。,yongfa
500079,内服：煎汤，6-9g；鲜品15～30g；或泡酒。,yongfa
500080,内服：煎汤，15-30g；或浸酒。,yongfa
500081,内服：研末，1～2分。外用：研末调敷。,yongfa
500082,内服：煎汤，3-9g；或入丸、散。外用；适量，研末调敷。,yongfa
500083,根0.5～1两；叶外用适量。,yongfa
500084,内服：煎汤，9-15g。,yongfa
500085,3～5钱，鲜用1～2两。外用适量，捣烂敷患处。,yongfa
500086,内服：煎汤，2～5钱（鲜者1～2两）。,yongfa
500087,内服：煎汤， 15-30g。外用：适量，捣烂敷或研末撤。,yongfa
500088,内服：煎汤，10-15g；或浸酒。外用：适量，煎水洗；或捣烂敷。,yongfa
500089,内服：煎汤，6-15g，鲜者30-60g。,yongfa
500090,内服：煎汤，0.5～1两；或浸酒。,yongfa
500091,内服：煎汤，10-30g；或浸酒。,yongfa
500092,内服：煎汤，15-30g。外用：适量，捣敷。,yongfa
500093,内服：煎汤，1.5～3钱；或入丸、散。,yongfa
500094,内服：煎汤，15-30g；或浸酒饮。外用：适量，捣烂或研末调敷。,yongfa
500095,3～5钱；外用适量，鲜品捣烂敷患处。,yongfa
500096,内服：煎汤，9-15g。,yongfa
