index:ID,zhuzhi,:LABEL
400000,祛风，功毒，杀虫，止痛。用于龋齿牙痛，疮疡肿毒，乳痈，瘰疬，皮肤顽癣，鹅掌风。,zhuzhi
400001,消肿止痛。治跌打损伤，痈肿疮毒，眼生翳膜。,zhuzhi
400002,解毒消肿；祛风止痛。主痈疽疔疮；风湿痹痛；牙痛；湿热泄泻；痢疾；小儿消化不良,zhuzhi
400003,补中和血；益气生津；宽肠胃；通便秘。主脾虚水肿；便泄；疮疡肿毒；大便秘结,zhuzhi
400004,解酒毒；止腹痛。主嗜酒无度；酒毒伤脾；腹痛便泄,zhuzhi
400005,益气养阴润肺；活血。主病后体虚；阴虚肺燥；咳嗽痰粘；咽干口渴；跌打损伤,zhuzhi
400006,祛风，除湿，活血，止血。治风湿痛，风寒咳嗽，吐血。,zhuzhi
400007,祛瘀消肿，解毒止痛。,zhuzhi
400008,治痢疾，风湿痛，黄疸，水肿，无名肿毒，骨折。,zhuzhi
400009,止血；止泻；解毒敛疮。主各种内出血；水泻；烫伤,zhuzhi
400010,补肾壮阳，润肠，止血。治肾虚阳痿，腰膝冷痛，老年习惯性便秘，膀胱炎。,zhuzhi
400011,清热解暑；补益气血；降压。主暑热烦渴；体质虚弱；头晕乏力；高血压,zhuzhi
400012,祛风止痛、止痒。主风热头痛；风疹篷痒,zhuzhi
400013,降血压；消疮肿。主高血压病；痈肿疮疖,zhuzhi
400014,理气止痛。主疝气；闪挫腰痛,zhuzhi
400015,行气健脾；降逆化痰。主脾胃气滞之脘腹胀满；恶心呕吐；食欲不振；痰壅气逆之咳嗽痰多；胸隔满闷；梅核气,zhuzhi
400016,养胃健脾止泻。主食欲不振；脾虚久泻,zhuzhi
400017,清热解毒；活血止痛。主肺热咳嗽；疮疡肿毒；跌打损伤,zhuzhi
400018,祛风，利湿，平肝，解毒。治风湿性关节炎，肝炎，头晕，口眼歪斜，衄血，目翳，痈疽肿毒。,zhuzhi
400019,解毒；利咽。主咽喉肿痛,zhuzhi
400020,快气利隔；化痰降逆；消食和胃；解酲；杀鱼蟹毒。主胸膈气滞；咳嗽痰多；饮食不消；恶心呕吐；醉酒,zhuzhi
400021,清热解毒，祛风止痛。用于风湿关节痛，痈疖肿毒，毒蛇咬伤。,zhuzhi
400022,祛寒，温肾。主治寒疝，阴囊出汗。,zhuzhi
400023,清热燥湿；健脾消疳；活血调经；解毒消肿。主泄泻；痢疾；疳疾；月经不调；湿疹；脚癣；毒蛇咬伤,zhuzhi
400024,祛风行气，健脾利湿。主治关节风湿痛，劳倦乏力，消化不良，胸闷白带，痈疽，溃疡不易收口。,zhuzhi
400025,消肿散结。主治瘊子。,zhuzhi
400026,祛风除湿；活血止痛；杀虫止痒。主风湿痹痛；腰膝痛；痈疽；疮癣,zhuzhi
400027,祛风；健脾；利湿；。主风湿痹痛；急惊风；劳倦乏力；消化不良；脾虚带下,zhuzhi
400028,解毒；散瘀；栽疟。主痈疮肿毒；蛇咬伤；疟疾,zhuzhi
400029,清心；明目。主热病心烦；目赤肿痛；视物模糊,zhuzhi
400030,祛风散寒；温肺化痰；止痛。主风寒头痛；痰饮咳喘；胃寒痛；腹痛；齿痛；风湿痹痛；跌打损伤,zhuzhi
400031,利湿，活血止痛。用于黄疸型肝炎，浮肿，白带，跌打损伤，风湿关节疼痛；外用治骨折，疮疖。,zhuzhi
400032,破血，行气，通经，止痛。治心腹痞满胀痛，臂痛，症瘕，妇女血瘀经闭，产后瘀停腹痛，跌扑损伤，痈肿。,zhuzhi
400033,理气止痛；解毒消肿。主胃气痛；吐泻腹痛；跌打劳伤；疮疡肿毒毒蛇咬伤,zhuzhi
400034,清热解毒；收敛止血。主烧烫伤；外伤出血,zhuzhi
400035,镇惊。主小儿惊风,zhuzhi
400036,通经，活血。主跌打损伤,zhuzhi
400037,祛风除湿，行气活血。主风湿痹痛，跌打损伤，偏瘫，胃脘痛，疳积，痢疾,zhuzhi
400038,利尿，化瘀，理气止痛。主小便不利，腰痛，跌打损伤,zhuzhi
400039,清热利湿；止血生肌；解毒消肿。主泄泻；痢疾；黄疸；淋证；水肿；咳血；尿血；便血；刀伤出血；跌打肿痛；疮痈；水火烫伤,zhuzhi
400040,清热解毒；安胎。主妊娠热病；胎动不安；头风热痛；天泡疮；热疖；烫火烧伤,zhuzhi
400041,清热解毒，利尿。用于黄疸型肝炎，痢疾，乳腺炎，小便不利。,zhuzhi
400042,清热利湿；活血消肿。主痢疾；腹泻；水肿；肝炎；胆囊炎；喉痹；泌尿系感染；痈肿疮毒；风湿痹痛；跌打肿痛；骨折,zhuzhi
400043,清热解毒；降血压；调经。主急慢性肝炎；肾炎；肺脓疡；高血压；月经常不调；乳腺癌,zhuzhi
400044,驱蛔虫。,zhuzhi
400045,利湿通淋；清热解毒；散瘀消肿。主热淋石淋；湿热黄疸；疮痈肿痛；跌仆损伤,zhuzhi
400046,治咳喘，月经不调，跌打损伤。,zhuzhi
400047,降火；解毒；散结；化痰止咳。主腮腺炎；支气管炎,zhuzhi
400048,清热解表；散瘀消积。主风热感冒；肺热咳嗽；烧烫伤；疔疮；毒蛇咬伤；瘰疬；跌打损伤；食积腹胀,zhuzhi
400049,调经止血，止咳，接骨，消肿。主治月经过多，风寒咳嗽，跌打损伤，外伤出血，骨折。,zhuzhi
400050,清热解毒，助消化。治消化不良，肠炎腹泻，传染性肝炎，淋巴结炎，血尿。,zhuzhi
400051,祛风除湿，清热解毒，止痒，治急性结膜炎，疮疖，皮炎，跌打损伤。,zhuzhi
400052,养心安神；清肝明目。主心悸怔忡；神经衰弱；目赤肿痛；冠心病；高血压等,zhuzhi
400053,清热利尿，散瘀活血，祛风湿。治膀胱炎，尿道炎，风湿骨痛，跌打损伤，蛇咬伤，疮疖肿毒。,zhuzhi
400054,清热生津；平肝降压。主津伤口渴；咽痛音哑；高血压病,zhuzhi
400055,活血，止血，解毒。治跌打损伤，衄血，咳血，吐血，乳痈，无名肿毒，毒虫螫伤。,zhuzhi
400056,利水消肿。主水肿,zhuzhi
400057,麻醉镇痛。治胃痛，骨折，风湿痛，跌打损伤。,zhuzhi
400058,块根：活血祛淤，止血，消肿止痛。用于衄血，吐血，咯血，便血，功能性子宫出血，产后血瘀腹痛，跌打损伤。,zhuzhi
400059,清热解毒；祛风利湿；活血舒筋。主感冒发热；咽痛；头痛；咳嗽胸痛；胃脘疼痛；泄泻；痢疾；胁痛；黄疸；石淋；带下；风湿痹痛；腰腿酸痛；簕骨拘挛麻木；跌打骨折；痄腮；乳痈；疮疡肿毒；蛇虫咬伤,zhuzhi
400060,通经活血，舒筋络，收敛，止痛。治腹泻，赤白痢，慢性肝炎，腹痛，风湿痛，痛经。,zhuzhi
400061,祛风湿；散瘀止痛。主风湿关节痛；跌打损伤,zhuzhi
400062,清热止痢；定惊；止血。主痢疾；小儿惊风；外伤出血,zhuzhi
400063,祛风湿；化痰止咳；散瘀止痛；解蛇毒。主风湿新加坡痛；咳嗽痰多；跌打肿痛；毒蛇咬伤,zhuzhi
400064,治妇女五心烦热，四肢乏力，或月经不调，经来腹痛：三升米一两，加金腰带（豆科小槐花）根、白马骨（茜草科六月雪）根、铁菱角（蓼科金线草）、寒扭（蔷薇科高梁泡）根各五至六钱。水煎，冲黄酒，每日早晚饭前各服一次。,zhuzhi
400065,清热解毒、散瘀止痛。防治流行性感冒、流行性脑脊髓膜炎、乙型脑炎、中暑，治感冒高热，扁桃体炎，咽喉炎，肺脓疡，肺炎，疟疾，风湿性关节炎，坐骨神经痛，腰腿痛，胃痛，黄疸型肝炎，断肠草（钩吻）中毒。外用治跌打扭伤，虫蛇咬伤，痈疖肿毒，外伤感染，湿疹，皮炎。,zhuzhi
400066,清热利湿；散瘀止痛；解毒消肿。主湿热痢疾；淋证；风湿热痹；血瘀痛经；跌打损伤；咽喉肿痛；痈疽肿毒；荨麻疹；疟疾,zhuzhi
400067,"①《贵州草药》：""清热，利湿，止痛，补虚。",zhuzhi
400068,清热解毒。主咽喉肿痛；发热头痛；痄腮；乳痈,zhuzhi
400069,清热解毒，散瘀止血。治骨结核，口腔炎，瘰疬，跌打损伤，外伤出血。,zhuzhi
400070,祛风湿，活血脉。主治风湿痹痛，跌打损伤，劳伤腰痛。,zhuzhi
400071,活络止痛。主关节酸痛；跌打骨折,zhuzhi
400072,消食健胃。主饮食积滞,zhuzhi
400073,清热利湿；通络止痛。主热淋；小便不利；水肿；风湿痹痛；胃痛；腰痛；跌打损伤；乳汁不下,zhuzhi
400074,活血化瘀；清热解毒；利尿通淋。主劳伤疼痛；跌打损伤；麻疯；无名肿毒；疥癣；小儿口疮；烫火伤；淋浊带下；尿闭,zhuzhi
400075,清热解毒、祛风化痰、活血止痛。主治：白喉，小儿高热惊厥、痢疾、肝炎。外用治毒蛇咬伤，扁桃体炎，淋巴结结核，子宫颈炎，蜂窝织炎，跌打损伤。,zhuzhi
400076,清热利尿，散瘀消肿。治肾炎血尿，疖肿，鹅口疮，跌打损伤。,zhuzhi
400077,健胃，消积。主治小儿疳积。,zhuzhi
400078,抗癌。用于淋巴肉瘤、肺癌等。,zhuzhi
400079,祛风通络；行气活血。主风湿痹痛；脘腹疼痛；跌打肿痛,zhuzhi
400080,法风除湿。主风湿痹痛,zhuzhi
400081,"①《云南中草药》：""止血，接骨，通经活络。治消化道出血，外伤出血，跌打损伤，骨折。""",zhuzhi
400082,活血调经；祛瘀生新；益肾安神。主月经不调；痛经；经闭；血崩；肾虚腰痛；阳痿；失眠；多梦；跌打损伤,zhuzhi
400083,：祛风活络，清热镇惊。用于小儿惊风，风湿筋骨痛。,zhuzhi
400084,散瘀止血。主产后恶露不尽,zhuzhi
400085,散毒消肿，清热化痰。主治毒蛇咬伤，跌打损伤，湿疹，皮炎，痈疮疖肿，急慢性支气管炎。,zhuzhi
400086,催生，解表。治妇人难产，小儿痧疹不出。,zhuzhi
400087,祛风除湿；止痛；止血。主感冒发热；头痛身痛；风湿痹痛；跌打损伤；外伤出血,zhuzhi
400088,祛风除湿；散瘀通络。主风湿痹痛；跌打损伤；骨折,zhuzhi
400089,解表透疹。主小儿痧疹不出,zhuzhi
400090,除风湿，通经络。治风湿筋骨痛，瘫痪、跌打损伤。,zhuzhi
400091,祛风除湿；活血调经。主风湿筋骨疼痛；瘫痪；月经不调；闭经；育经；跌打损伤,zhuzhi
400092,清热；凉血；宁心。主癫病；痔疮出血；硬结肿快,zhuzhi
400093,破血，行气，消积，止痛。治症瘕积聚，气血凝滞，心腹疼痛，胁下胀疼，经闭，产后瘀血腹痛，跌打损伤。疮肿坚硬。,zhuzhi
400094,祛风除湿；散瘀止痛。主风湿痹痛；跌打损伤；湿疹；秃疮,zhuzhi
400095,清热解毒，截疟，接骨，祛风除湿。用于扁桃体炎，咽喉炎，风湿骨痛，疟疾，肝炎；外用治痈疖肿毒，骨折，跌打损伤。,zhuzhi
400096,清热解毒；消肿止痛。主疮疡肿毒；泄泻；痢疾；牙痛；喉痛；跌打肿痛,zhuzhi
400097,祛风除湿；解毒止血。主风湿骨痛；痢疾；外伤出血；毒蛇咬伤,zhuzhi
400098,清利湿热，消肿，解毒。治水肿，脚气，黄疸，淋浊，带下，痈肿，疗毒。,zhuzhi
400099,利水除湿；清热解毒。主脚气；水肿；淋浊；带下；痈肿；流火；疔疮疥癣；亦治风湿热痹,zhuzhi
400100,祛风湿；舒筋络；散寒止痛；外用止血。主风湿感冒；风湿痹痛；胃寒疼痛；跌打伤痛，刀伤出血。,zhuzhi
400101,清热解毒；止咳。主疮疡肿毒；小儿湿疹；小儿瘰疬；咳嗽,zhuzhi
400102,祛风除湿；活血止痛。主风湿痹痛；肢体麻木；劳伤腰痛；跌打损伤；头痛,zhuzhi
400103,消肿解毒。主治毒蛇咬伤，小儿单纯性消化不良。,zhuzhi
400104,祛风除湿，通络，止血，解毒。治风湿痹痛，偏头痛，风湿疮毒，骨折。,zhuzhi
400105,祛风湿；强腰膝；活血消肿。主风湿痹痛；腰膝酸软；劳伤产科痛；无名肿毒,zhuzhi
400106,清暑，镇痛，补虚。,zhuzhi
400107,舒筋活血，散淤消肿。用于跌打损伤，淤血肿痛。,zhuzhi
400108,祛风湿；通经络；健脾消疳。主风湿痹痛；白带过多；腹泻；痢疾；小儿疳积；胃寒疼痛,zhuzhi
400109,温中行气；活血散瘀。主心腹疼痛；跌打损伤；瘀血肿痛；疮毒,zhuzhi
400110,清热利湿；凉血解毒。主黄疸；淋证；湿疹；疔疮肿毒；毒蛇咬伤；跌打损伤,zhuzhi
400111,清肺止咳；凉血止血；通络止痛；清热解毒。主肺痈；咳血；吐血；衄血；尿血；血淋；风湿疼痛；牙痛；痢疾；风疹；皮肤湿痒；恶疮肿疖；梅毒,zhuzhi
400112,清热解毒；祛瘀止痛。主疔肿痈毒；毒蛇咬伤；跌打损伤,zhuzhi
400113,清热；燥湿；泻火解毒。主湿热痢利；腹泻；黄疸；湿疹；疮疡；口疮；目赤；咽痛,zhuzhi
400114,治小儿惊风，干燥全草五至六钱。水煎，加白糖少许冲服。,zhuzhi
400115,祛风除湿；活血通络；解毒止血。主风湿性关节炎；腰痛；跌打伤肿；血栓闭塞性脉管炎；肺痈；衄血；疖疮肿毒,zhuzhi
400116,清热利尿；止咳；除烦；解毒消肿。主小便癃闭；淋沥涩痛；热咳；心烦；疮疡肿痛；跌打损伤,zhuzhi
400117,祛风利湿；清热定惊；解毒消肿。主风湿痹痛；热病抽搐；咽喉肿痛；痈肿；瘰疬；毒蛇咬伤,zhuzhi
400118,清热利尿。主慢性肾炎；肿毒疮疡,zhuzhi
400119,"《陕西中草药》：""消肿解毒，止血止痛，排脓生机，祛风湿。治跌打损伤，骨折，风湿性关节炎，风湿性腰腿痛，便血，崩漏，白带。""",zhuzhi
400120,清热解毒；消肿止痛。主咽喉肿痛；口疮；牙痛；火眼；偏正头痛；跌打肿痛,zhuzhi
400121,清热，活血，解毒。治咽喉干痛，跌打，劳损，风湿腰腿痛，疖肿。,zhuzhi
400122,清热解毒；化痰定惊。主痘疮不起；咽喉肿痛；癫狂；痫证,zhuzhi
400123,清热化痰；凉血解毒。主热病身热烦渴；痰喘咳嗽；肠风下血，痔疮出血；血淋；崩漏；痈疽疮疡；乳汁不通；无名肿毒；水肿,zhuzhi
400124,清热解毒。治痈疽，疔肿，疮癣，蛇咬，汤火伤。,zhuzhi
400125,利水，除热。治肢面浮肿，石淋，肠风，痔瘘。,zhuzhi
400126,疏风清热；舒筋止痛；健脾消疳；止血。主小儿急惊风；目翳；跌打损伤；风湿痹痛；小儿疳积；妇女干血痨；咯血；吐血,zhuzhi
400127,根、茎皮：止痛。用于膝关节痛。,zhuzhi
400128,清热解毒；凉血散瘀。主风热感冒；痈肿总人口毒；事实上太疱疹；月经不调；乳少不畅；跌打损伤,zhuzhi
400129,清热解毒；消肿止痛。主脑膜炎；痢疾；痔疮；睾丸肿痛；疥癣,zhuzhi
400130,通经活络，清热化痰。治胸胁疼痛，腹痛，腰痛，睾丸肿痛，肺热痰咳，妇女经闭，乳汁不通，痈肿，痔漏。炭：能止血。治便血、血崩。,zhuzhi
400131,行气活血；解毒。主瘀血作痛；蛇虫咬伤,zhuzhi
400132,疏风清热；除湿；解毒。主感发热；咳嗽；急性黄疸型肝炎；湿热腹泻；白滞；亲疮肿毒；乳腺炎；鼻炎；毒蛇咬伤,zhuzhi
400133,理气健脾；杀虫解毒。主脘腹胀满；小儿疳积；虫积；疮疖溃疡,zhuzhi
400134,祛风除湿；活血止血；解毒消肿。主风湿痹痛；外伤出血；疮疡肿毒,zhuzhi
400135,"①《南宁市药物志》：""舒筋活络，杀虫。外敷跌打筋断，风湿骨痛；内服舒筋活络。""",zhuzhi
400136,清热利湿，解毒。用于感冒，支气管炎，扁桃体炎，咽喉炎，牙痛，肠炎，痢疾，黄疸型肝炎，急性肾炎，膀胱炎；外用治蛇咬伤。,zhuzhi
